site,Island,x,y,gps_ft,gps_m
auwahi,maui,20.6471,-156.345,4410,1344
auwahiOldLocation,maui,20.6471,-156.345,4410,1344
haleakala,maui,20.7792,-156.2602,5607,1709
haleakalaROldLocation,maui,20.7763,-156.2443,6503,1982
honda,maui,20.6519,-156.3578,4423,1348
kaala1000m,oahu,21.51165,-158.15379,3328,1014
kaala1200m,oahu,21.50829,-158.14395,4020,1225
kaala600m,oahu,21.52837,-158.16455,2078,633
kaala800m,oahu,21.5191,-158.16963,2682,817
kaalaSummitHan,oahu,21.50676,-158.14485,,
kahikinuimos,maui,20.651,-156.2944,4099,1250
waiopai,maui,20.6563,-156.2397,3428,1045
